threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,exact_match,predicted_labels_per_sample,true_labels_per_sample
0.05,0.11932555123216602,0.9813333333333333,0.2127782596126048,0.10068418074759482,0.9147211779448622,0.171747651895548,0.0,25.278688524590162,3.0737704918032787
0.060000000000000005,0.12669683257918551,0.9706666666666667,0.22413793103448276,0.10523658281992368,0.9000481316928685,0.178932463952734,0.0,23.549180327868854,3.0737704918032787
0.07,0.13460104399701714,0.9626666666666667,0.23617926071311743,0.11067882951591856,0.8879867281840964,0.1871516260413839,0.0,21.983606557377048,3.0737704918032787
0.08000000000000002,0.14149821640903687,0.952,0.2463768115942029,0.11512023393921003,0.8730212842712843,0.193773830637085,0.0,20.68032786885246,3.0737704918032787
0.09000000000000001,0.14880201765447668,0.944,0.2570806100217865,0.11994113025789165,0.8510914597098809,0.20039969871810268,0.0,19.5,3.0737704918032787
0.1,0.15551617190961453,0.936,0.26671732522796354,0.12502455958237005,0.8405860294676084,0.20756808000016946,0.0,18.5,3.0737704918032787
0.11000000000000001,0.16207379729098553,0.9253333333333333,0.2758346581875994,0.13023915709444817,0.8346336485152275,0.21492671139327785,0.0,17.549180327868854,3.0737704918032787
0.12000000000000002,0.1678082191780822,0.9146666666666666,0.28358825961140965,0.13369219415251574,0.8148968064099643,0.21922621638518627,0.0,16.75409836065574,3.0737704918032787
0.13,0.1747422680412371,0.904,0.29287257019438445,0.13866988226829538,0.8054164293309031,0.22593268837499322,0.0,15.901639344262295,3.0737704918032787
0.14,0.18365122615803814,0.8986666666666666,0.3049773755656109,0.14514426173962658,0.799734611149085,0.23498305736247338,0.0,15.040983606557377,3.0737704918032787
0.15000000000000002,0.19083094555873925,0.888,0.3141509433962264,0.14868542431517057,0.7747894357104884,0.23902762130593147,0.0,14.30327868852459,3.0737704918032787
0.16000000000000003,0.19879518072289157,0.88,0.32432432432432434,0.15445755442724626,0.7657433830789094,0.2465644401326917,0.0,13.60655737704918,3.0737704918032787
0.17000000000000004,0.2032520325203252,0.8666666666666667,0.3292806484295846,0.15756980853468167,0.754296207024739,0.2503537898239962,0.0,13.10655737704918,3.0737704918032787
0.18000000000000002,0.2129202373104812,0.8613333333333333,0.34143763213530653,0.1651731545440092,0.750851230948184,0.26053761222340144,0.0,12.434426229508198,3.0737704918032787
0.19000000000000003,0.2206085753803596,0.8506666666666667,0.3503569467325645,0.1703766410297681,0.7319759176649758,0.2668323365524336,0.00819672131147541,11.852459016393443,3.0737704918032787
0.20000000000000004,0.23127272727272727,0.848,0.36342857142857143,0.17725521513225634,0.7188180229281338,0.27524027087104946,0.01639344262295082,11.270491803278688,3.0737704918032787
0.21000000000000002,0.24009146341463414,0.84,0.37344398340248963,0.18361932865814615,0.7092092971663609,0.283164946119891,0.01639344262295082,10.754098360655737,3.0737704918032787
0.22000000000000003,0.24324324324324326,0.816,0.3747703612982241,0.18451215702777515,0.6824065446710876,0.2823709226604705,0.00819672131147541,10.311475409836065,3.0737704918032787
0.23000000000000004,0.25062447960033307,0.8026666666666666,0.3819796954314721,0.1858569709035874,0.6544460183552981,0.28213060235571075,0.01639344262295082,9.844262295081966,3.0737704918032787
0.24000000000000005,0.25457715780296425,0.7786666666666666,0.38370565045992117,0.18767083668698692,0.6267064516354683,0.2818449100670757,0.02459016393442623,9.401639344262295,3.0737704918032787
0.25000000000000006,0.2639269406392694,0.7706666666666667,0.39319727891156464,0.19359437358329,0.6180650564809153,0.2880060184046311,0.03278688524590164,8.975409836065573,3.0737704918032787
0.26000000000000006,0.27402473834443386,0.768,0.40392706872370265,0.2000907966270653,0.6128018985861785,0.29516939624628935,0.03278688524590164,8.614754098360656,3.0737704918032787
0.27,0.28442211055276384,0.7546666666666667,0.4131386861313869,0.20916253878741184,0.5887229512177574,0.30167060926157385,0.03278688524590164,8.155737704918034,3.0737704918032787
0.28,0.29109947643979056,0.7413333333333333,0.4180451127819549,0.21831424277294384,0.581201021393196,0.30914806787150595,0.03278688524590164,7.827868852459017,3.0737704918032787
0.29000000000000004,0.3026315789473684,0.736,0.4289044289044289,0.23583081304432424,0.579138573607064,0.3228327983077726,0.03278688524590164,7.475409836065574,3.0737704918032787
0.30000000000000004,0.3146198830409357,0.7173333333333334,0.4373983739837398,0.23018219056463904,0.5486065142921099,0.315955845083826,0.02459016393442623,7.008196721311475,3.0737704918032787
0.31000000000000005,0.3235294117647059,0.704,0.4433249370277078,0.24125203330254266,0.5351614432812494,0.3218549024313284,0.03278688524590164,6.688524590163935,3.0737704918032787
0.32000000000000006,0.33163265306122447,0.6933333333333334,0.4486626402070751,0.24886050615156038,0.5223763555619512,0.32606748966812726,0.03278688524590164,6.426229508196721,3.0737704918032787
