threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,exact_match,predicted_labels_per_sample,true_labels_per_sample
0.05,0.09952072173667888,0.9413333333333334,0.18001019887812342,0.08255858841505741,0.768859649122807,0.13987461708324797,0.0,29.07377049180328,3.0737704918032787
0.060000000000000005,0.13229416466826538,0.8826666666666667,0.23010079944386513,0.0988372658437084,0.6210526315789474,0.1548586111985065,0.0,20.508196721311474,3.0737704918032787
0.07,0.14916067146282974,0.8293333333333334,0.2528455284552846,0.07839501253061983,0.4910087719298246,0.12999070127624904,0.0,17.09016393442623,3.0737704918032787
0.08000000000000002,0.16695352839931152,0.776,0.2747875354107649,0.07959345589232587,0.41813530037214247,0.1281064717966938,0.0,14.28688524590164,3.0737704918032787
0.09000000000000001,0.17449238578680204,0.7333333333333333,0.28190671450538185,0.07183537093760498,0.3626196172248804,0.11553383063214,0.0,12.918032786885245,3.0737704918032787
0.1,0.1871508379888268,0.7146666666666667,0.29662423907028224,0.07565180043183412,0.3404391660970609,0.11639851033596678,0.0,11.737704918032787,3.0737704918032787
0.11000000000000001,0.20843881856540084,0.6586666666666666,0.31666666666666665,0.07747035766906284,0.2922196589959748,0.11453259978365174,0.0,9.71311475409836,3.0737704918032787
0.12000000000000002,0.227,0.6053333333333333,0.3301818181818182,0.07083133441867738,0.2518084985190248,0.10612280658709174,0.0,8.19672131147541,3.0737704918032787
0.13,0.2494061757719715,0.56,0.3451109285127362,0.07792540775175319,0.21914160401002505,0.10560401000037396,0.0,6.901639344262295,3.0737704918032787
0.14,0.28315946348733234,0.5066666666666667,0.3632887189292543,0.06564431951803587,0.18388157894736842,0.09281649352110075,0.0,5.5,3.0737704918032787
0.15000000000000002,0.30973451327433627,0.4666666666666667,0.3723404255319149,0.06184194863362765,0.16144390581717452,0.08736140775739082,0.00819672131147541,4.631147540983607,3.0737704918032787
0.16000000000000003,0.3422680412371134,0.44266666666666665,0.386046511627907,0.06851338691946292,0.14722991689750692,0.08934326642659975,0.040983606557377046,3.9754098360655736,3.0737704918032787
0.17000000000000004,0.36790123456790125,0.3973333333333333,0.382051282051282,0.09007162774445295,0.12077908587257617,0.07953767188239491,0.05737704918032787,3.319672131147541,3.0737704918032787
0.18000000000000002,0.3806818181818182,0.35733333333333334,0.3686382393397524,0.04354289853094345,0.09893351800554016,0.05846643783676606,0.05737704918032787,2.8852459016393444,3.0737704918032787
0.19000000000000003,0.4050632911392405,0.3413333333333333,0.3704775687409551,0.04263340260343121,0.09158760387811635,0.057335644430092876,0.06557377049180328,2.5901639344262297,3.0737704918032787
0.20000000000000004,0.43309859154929575,0.328,0.37329286798179057,0.044952452778664685,0.08612015235457063,0.05827145284382127,0.04918032786885246,2.3278688524590163,3.0737704918032787
0.21000000000000002,0.44176706827309237,0.29333333333333333,0.3525641025641026,0.044955545680421934,0.07248788088642659,0.053943793417477626,0.00819672131147541,2.040983606557377,3.0737704918032787
0.22000000000000003,0.431924882629108,0.24533333333333332,0.3129251700680272,0.03769590383533736,0.05418109418282548,0.042423452160294264,0.00819672131147541,1.7459016393442623,3.0737704918032787
0.23000000000000004,0.4644808743169399,0.22666666666666666,0.3046594982078853,0.03734911104317723,0.04694078947368421,0.03942694574273522,0.0,1.5,3.0737704918032787
0.24000000000000005,0.4431137724550898,0.19733333333333333,0.2730627306273063,0.03259514907487298,0.03651315789473684,0.030307087273031545,0.0,1.3688524590163935,3.0737704918032787
0.25000000000000006,0.45098039215686275,0.184,0.26136363636363635,0.0312844009401684,0.03148026315789474,0.02418656793117535,0.0,1.2540983606557377,3.0737704918032787
0.26000000000000006,0.4676258992805755,0.17333333333333334,0.2529182879377432,0.016685276353854743,0.027960526315789474,0.020071414056376462,0.0,1.139344262295082,3.0737704918032787
0.27,0.5079365079365079,0.17066666666666666,0.2554890219560878,0.020168248490077655,0.027138157894736843,0.019385174648332545,0.0,1.0327868852459017,3.0737704918032787
0.28,0.5163934426229508,0.168,0.2535211267605634,0.013589301121656601,0.02631578947368421,0.01792318634423898,0.0,1.0,3.0737704918032787
0.29000000000000004,0.5163934426229508,0.168,0.2535211267605634,0.013589301121656601,0.02631578947368421,0.01792318634423898,0.0,1.0,3.0737704918032787
0.30000000000000004,0.5163934426229508,0.168,0.2535211267605634,0.013589301121656601,0.02631578947368421,0.01792318634423898,0.0,1.0,3.0737704918032787
0.31000000000000005,0.5163934426229508,0.168,0.2535211267605634,0.013589301121656601,0.02631578947368421,0.01792318634423898,0.0,1.0,3.0737704918032787
0.32000000000000006,0.5163934426229508,0.168,0.2535211267605634,0.013589301121656601,0.02631578947368421,0.01792318634423898,0.0,1.0,3.0737704918032787
0.33000000000000007,0.5163934426229508,0.168,0.2535211267605634,0.013589301121656601,0.02631578947368421,0.01792318634423898,0.0,1.0,3.0737704918032787
0.3400000000000001,0.5163934426229508,0.168,0.2535211267605634,0.013589301121656601,0.02631578947368421,0.01792318634423898,0.0,1.0,3.0737704918032787
0.3500000000000001,0.5163934426229508,0.168,0.2535211267605634,0.013589301121656601,0.02631578947368421,0.01792318634423898,0.0,1.0,3.0737704918032787
0.36000000000000004,0.5163934426229508,0.168,0.2535211267605634,0.013589301121656601,0.02631578947368421,0.01792318634423898,0.0,1.0,3.0737704918032787
0.37000000000000005,0.5163934426229508,0.168,0.2535211267605634,0.013589301121656601,0.02631578947368421,0.01792318634423898,0.0,1.0,3.0737704918032787
0.38000000000000006,0.5163934426229508,0.168,0.2535211267605634,0.013589301121656601,0.02631578947368421,0.01792318634423898,0.0,1.0,3.0737704918032787
0.39000000000000007,0.5163934426229508,0.168,0.2535211267605634,0.013589301121656601,0.02631578947368421,0.01792318634423898,0.0,1.0,3.0737704918032787
0.4000000000000001,0.5431034482758621,0.168,0.25661914460285135,0.014292196007259528,0.02631578947368421,0.018523963540135257,0.03278688524590164,0.9508196721311475,3.0737704918032787
0.4100000000000001,0.5478260869565217,0.168,0.2571428571428571,0.014416475972540045,0.02631578947368421,0.01862803075103489,0.03278688524590164,0.9426229508196722,3.0737704918032787
0.4200000000000001,0.5495495495495496,0.16266666666666665,0.25102880658436216,0.014461830251303936,0.025480367585630742,0.018451300665456746,0.040983606557377046,0.9098360655737705,3.0737704918032787
0.43000000000000005,0.5555555555555556,0.16,0.2484472049689441,0.014619883040935673,0.02506265664160401,0.018467220683287166,0.040983606557377046,0.8852459016393442,3.0737704918032787
0.44000000000000006,0.5670103092783505,0.14666666666666667,0.2330508474576271,0.014921323928377644,0.02297410192147034,0.018092105263157895,0.040983606557377046,0.7950819672131147,3.0737704918032787
0.45000000000000007,0.5652173913043478,0.13866666666666666,0.22269807280513917,0.014874141876430205,0.02172096908939014,0.017657045840407472,0.040983606557377046,0.7540983606557377,3.0737704918032787
0.4600000000000001,0.5697674418604651,0.13066666666666665,0.21258134490238612,0.014993880048959608,0.02046783625730994,0.017308371600141294,0.040983606557377046,0.7049180327868853,3.0737704918032787
0.4700000000000001,0.575,0.12266666666666666,0.2021978021978022,0.01513157894736842,0.01921470342522974,0.016930437983069563,0.040983606557377046,0.6557377049180327,3.0737704918032787
0.4800000000000001,0.5774647887323944,0.10933333333333334,0.18385650224215247,0.01519644180874722,0.017126148705096073,0.01610369206598586,0.040983606557377046,0.5819672131147541,3.0737704918032787
0.4900000000000001,0.5671641791044776,0.10133333333333333,0.17194570135746606,0.014925373134328358,0.015873015873015872,0.015384615384615385,0.040983606557377046,0.5491803278688525,3.0737704918032787
0.5000000000000001,0.6229508196721312,0.10133333333333333,0.1743119266055046,0.01639344262295082,0.015873015873015872,0.016129032258064516,0.040983606557377046,0.5,3.0737704918032787
