threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,exact_match,predicted_labels_per_sample,true_labels_per_sample
0.05,0.08300132802124834,1.0,0.15328019619865113,0.08090501083953859,0.9473684210526315,0.1385650488688428,0.0,37.032786885245905,3.0737704918032787
0.060000000000000005,0.08503401360544217,1.0,0.15673981191222572,0.08139963533510867,0.9473684210526315,0.13950046967039872,0.0,36.14754098360656,3.0737704918032787
0.07,0.08779342723004695,0.9973333333333333,0.16138079827400215,0.08228269326747735,0.9385964912280701,0.1411139469724183,0.0,34.91803278688525,3.0737704918032787
0.08000000000000002,0.09182420820034373,0.9973333333333333,0.1681654676258993,0.08422588728259837,0.9385964912280701,0.14462138495994933,0.0,33.385245901639344,3.0737704918032787
0.09000000000000001,0.09596482152095188,0.9893333333333333,0.1749587361471351,0.08535004546084973,0.9122807017543859,0.14651917263751002,0.0,31.688524590163933,3.0737704918032787
0.1,0.10210293303818484,0.984,0.18500877412885436,0.08818329729657778,0.9004385964912281,0.15146651665173827,0.0,29.62295081967213,3.0737704918032787
0.11000000000000001,0.10841232227488151,0.976,0.19514796054385497,0.09149451916104658,0.8880325814536341,0.15711514027520188,0.0,27.672131147540984,3.0737704918032787
0.12000000000000002,0.11642078255291853,0.968,0.20784425994846836,0.09578110742775134,0.8675647451963243,0.16406671159216324,0.0,25.557377049180328,3.0737704918032787
0.13,0.12548060118839566,0.9573333333333334,0.2218788627935723,0.10119027567269727,0.8509180147338044,0.1727002007385284,0.0,23.450819672131146,3.0737704918032787
0.14,0.13338385752178855,0.9386666666666666,0.23357664233576642,0.10471783236869422,0.8116835649730387,0.1779266794259275,0.0,21.631147540983605,3.0737704918032787
0.15000000000000002,0.14221311475409837,0.9253333333333333,0.24653641207815274,0.1099239811419516,0.7884578871420977,0.18587476049868626,0.0,20.0,3.0737704918032787
0.16000000000000003,0.15055679287305124,0.9013333333333333,0.2580152671755725,0.11291310484470529,0.7382824485456065,0.1894529566167268,0.0,18.401639344262296,3.0737704918032787
0.17000000000000004,0.15741626794258373,0.8773333333333333,0.2669371196754564,0.11456801613014675,0.6958155356493306,0.1908860632163307,0.0,17.131147540983605,3.0737704918032787
0.18000000000000002,0.16632231404958678,0.8586666666666667,0.27866724361748163,0.11737093149097833,0.6574582788710213,0.19376502713026134,0.0,15.868852459016393,3.0737704918032787
0.19000000000000003,0.17516629711751663,0.8426666666666667,0.29004130335016065,0.12072862468447342,0.628437811034764,0.1976245465048266,0.0,14.78688524590164,3.0737704918032787
0.20000000000000004,0.1854265402843602,0.8346666666666667,0.30344158991759573,0.12622933861708419,0.6158884951613484,0.20490364326984625,0.0,13.836065573770492,3.0737704918032787
0.21000000000000002,0.19616613418530351,0.8186666666666667,0.31649484536082473,0.13137662897123575,0.5976910128191292,0.21129203958344872,0.0,12.827868852459016,3.0737704918032787
0.22000000000000003,0.20369104579630895,0.7946666666666666,0.32426550598476606,0.13377393686517997,0.5623683311148685,0.21235622966911186,0.00819672131147541,11.991803278688524,3.0737704918032787
0.23000000000000004,0.2139194139194139,0.7786666666666666,0.335632183908046,0.13844015321948736,0.5452137520835583,0.21749950153922826,0.02459016393442623,11.188524590163935,3.0737704918032787
0.24000000000000005,0.2234375,0.7626666666666667,0.345619335347432,0.14640494223672104,0.5310032257677687,0.2262728998805534,0.02459016393442623,10.491803278688524,3.0737704918032787
0.25000000000000006,0.23416666666666666,0.7493333333333333,0.3568253968253968,0.15468491615121158,0.515692745620031,0.23487839453330894,0.03278688524590164,9.836065573770492,3.0737704918032787
0.26000000000000006,0.2424511545293073,0.728,0.3637574950033311,0.15825545540757446,0.4895670146258789,0.23657613063182406,0.040983606557377046,9.229508196721312,3.0737704918032787
0.27,0.258252427184466,0.7093333333333334,0.3786476868327402,0.16661449825503674,0.4674022276584603,0.2432121236905532,0.040983606557377046,8.442622950819672,3.0737704918032787
