row,appid
0,2751600
1,2356440
2,3291130
3,2269580
4,1818240
5,18110
6,823770
7,2074700
8,1659250
9,513420
10,1599250
11,426310
12,1523360
13,3616320
14,2153950
15,1545610
16,586080
17,3520310
18,1052210
19,1968140
20,1883090
21,3673120
22,849070
23,2240440
24,908360
25,1001990
26,3343390
27,1761750
28,1386810
29,2845840
30,1132070
31,2641310
32,3058710
33,1173730
34,3716700
35,3449860
36,660390
37,1579020
38,274560
39,851720
40,880490
41,3743030
42,1973410
43,791960
44,1558180
45,1632360
46,1074700
47,2327510
48,3492120
49,2378150
50,3791620
51,3793270
52,2434000
53,3800
54,3036710
55,774421
56,251530
57,3433280
58,2656540
59,2758070
60,2219800
61,2406220
62,1222690
63,3031590
64,2994990
65,1294230
66,721350
67,570980
68,372080
69,2668640
70,1543550
71,3850070
72,1517150
73,2248290
74,576020
75,2480680
76,1484970
77,853290
78,2660640
79,3222850
80,3136000
81,1182720
82,3128440
83,2111340
84,232090
85,2944680
86,1795030
87,1701400
88,3696000
89,976420
90,748720
91,2708720
92,2940490
93,3152200
94,418940
95,2433280
96,1132530
97,2977660
98,2166370
99,1357840
100,2340280
101,1425950
102,302750
103,473950
104,2170350
105,574260
106,2243000
107,1147850
108,3731010
109,2070180
110,2469330
111,2666330
112,2165040
113,1672790
114,1700890
115,3248110
116,1986290
117,3469890
118,836590
119,3032790
120,2848190
121,2488590
122,2422870
123,1071500
124,2640760
125,501120
126,312150
127,105300
128,3321720
129,3690780
130,3071080
131,2802590
132,1522160
133,713310
134,2751040
135,2727670
136,3821910
137,201010
138,2541930
139,2599450
140,872810
141,1484950
142,2279600
143,1638330
144,1586660
145,3114690
146,2351860
147,3100680
148,2105120
149,3125590
150,2468820
151,1609730
152,2273490
153,436110
154,1161570
155,674210
156,281580
157,1294810
158,1392060
159,1879560
160,1149080
161,2508870
162,2056220
163,623310
164,1112840
165,298840
166,1853080
167,1560580
168,684530
169,223330
170,3180440
171,3825870
172,2753930
173,2537860
174,894930
175,3441600
176,2127240
177,3354980
178,488300
179,1764740
180,3568960
181,2745830
182,1497710
183,3865120
184,841660
185,2700020
186,697800
187,869660
188,1046410
189,1605120
190,2629310
191,3535610
192,1786810
193,3627290
194,316610
195,3236600
196,2152190
197,1662710
198,3764420
199,3109040
200,2641990
201,2747980
202,1025600
203,2802080
204,806470
205,3108050
206,2686120
207,3082310
208,2372030
209,2949070
210,571100
211,2645180
212,3902600
213,2196920
214,2942660
215,656800
216,1806190
217,2323260
218,3806380
219,2610920
220,2444860
221,442290
222,1183220
223,3944630
224,3645300
225,301260
226,46550
227,2141350
228,3395970
229,2729770
230,495560
231,1810840
232,611090
233,2819300
234,995700
235,1138310
236,3960350
237,544800
238,3534750
239,2083470
240,3755760
241,1868410
242,2709650
243,789480
244,436850
245,1786270
246,3398150
247,1409190
248,2708020
249,1274390
250,1984250
251,1106530
252,2121790
253,2642080
254,427830
255,2566320
256,2700050
257,871590
258,1577260
259,3792680
260,1583500
261,2282900
262,3620060
263,2435090
264,1909840
265,2720090
266,3878500
267,3501370
268,925330
269,3433820
270,2835390
271,860960
272,2911010
273,3792380
274,3638350
275,2619490
276,877810
277,1231530
278,3515160
279,3018700
280,1562400
281,705750
282,1680540
283,1931870
284,2666020
285,2322950
286,2722860
287,2632570
288,530860
289,3197700
290,3017170
291,1638030
292,3921960
293,1519060
294,1527270
295,2870310
296,460210
297,3688330
298,2593810
299,2666220
300,1860270
301,1019060
302,1601330
303,2343160
304,599840
305,696430
306,1444430
307,940600
308,780580
309,3396730
310,1016440
311,2215080
312,485640
313,2455850
314,1665570
315,3118340
316,3158060
317,2002430
318,296150
319,1924740
320,3118580
321,1208860
322,1568450
323,3111980
324,3185100
325,1813000
326,1769470
327,3517880
328,1406810
329,1060100
330,3226210
331,3712650
332,698960
333,1361200
334,1156380
335,816990
336,2499740
337,1830160
338,2637080
339,1484010
340,447570
341,924250
342,1172460
343,1258090
344,3932740
345,3360260
346,3053130
347,967210
348,1136040
349,374420
350,1046750
351,1048570
352,3199860
353,1658080
354,2304340
355,3751610
356,3705430
357,3391060
358,2965910
359,1234940
360,2439830
361,1939040
362,1063030
363,1517960
364,2257560
365,292300
366,1833770
367,2567400
368,2648360
369,1265130
370,2553050
371,3413650
372,2682980
373,1964990
374,1881120
375,1771170
376,3700200
377,1767990
378,1269080
379,2112740
380,3446900
381,1513840
382,2694620
383,2706690
384,1252010
385,3910560
386,3620860
387,2877150
388,3715440
389,496390
390,462580
391,3785420
392,2376340
393,1817320
394,3866170
395,1705870
396,1291610
397,2747340
398,2230180
399,2991590
400,38150
401,1623870
402,1315940
403,1528810
404,3764410
405,1747850
406,2771730
407,1227750
408,201290
409,2847210
410,1403940
411,573360
412,845200
413,655910
414,239250
415,2323280
416,433480
417,3136220
418,2393330
419,2153810
420,759160
421,2272930
422,2183720
423,1350120
424,3794930
425,3956500
426,1362470
427,3719230
428,3505690
429,3730310
430,1425590
431,2432530
432,2428480
433,2264290
434,3339810
435,3126240
436,999570
437,2379790
438,3396850
439,1699140
440,471160
441,840410
442,2012140
443,2856310
444,831670
445,2668760
446,3560280
447,2437980
448,2405020
449,521110
450,364450
451,494980
452,3948970
453,1446850
454,2114580
455,1652680
456,965300
457,2149190
458,944220
459,2291880
460,2715390
461,1747210
462,3688610
463,3240010
464,2783920
465,2866220
466,230070
467,895610
468,1752210
469,3970790
470,1487080
471,3446390
472,622010
473,2636830
474,3531520
475,3437440
476,499440
477,1876540
478,1056010
479,3438210
480,2880270
481,1498630
482,1403370
483,2372890
484,774291
485,1944640
486,3332080
487,61500
488,2834950
489,558490
490,1334080
491,3087730
492,703400
493,1486910
494,3251130
495,3016870
496,2014410
497,3715710
498,3825630
499,1953060
500,1864800
501,2378250
502,622830
503,3124860
504,341800
505,1786330
506,1457630
507,1173610
508,3550670
509,2647060
510,1509670
511,684700
512,1106030
513,2520760
514,1846210
515,1882960
516,1591530
517,513610
518,397190
519,2800880
520,1812970
521,2371040
522,1827600
523,3474060
524,3928640
525,3505280
526,1541670
527,3256060
528,1289670
529,1274730
530,2937910
531,209170
532,877480
533,3575390
534,3083070
535,386420
536,3422860
537,1034750
538,3417830
539,1185390
540,3209750
541,2132040
542,3068210
543,34500
544,3576690
545,386770
546,962380
547,2652820
548,1663970
549,1952900
550,2532500
551,1834500
552,2884750
553,3694100
554,1743410
555,3579290
556,1964330
557,2023680
558,3757140
559,3717840
560,1902940
561,757330
562,670410
563,2345200
564,292760
565,1740080
566,723030
567,2949820
568,3094970
569,2751890
570,1171440
571,706490
572,1293130
573,371670
574,3174170
575,1586890
576,808880
577,3110840
578,2948980
579,2142540
580,2910990
581,1787010
582,270010
583,3660100
584,2821800
585,2706960
586,2291810
587,2926910
588,1032580
589,807730
590,2545830
591,3305960
592,1962610
593,1589300
594,1173110
595,620580
596,2802710
597,3634810
598,2014610
599,3255440
600,783210
601,3006280
602,3229140
603,530540
604,699180
605,1784020
606,1778890
607,509920
608,2810330
609,840580
610,1070230
611,1788130
612,912870
613,3597510
614,283600
615,1223020
616,668200
617,1844100
618,2908100
619,3107740
620,3673970
621,3367010
622,3244180
623,585310
624,2568930
625,1794840
626,295710
627,2893930
628,887680
629,2839020
630,1787270
631,3655990
632,986220
633,3395710
634,3003280
635,667840
636,9880
637,1067780
638,1469160
639,1272360
640,959930
641,2623260
642,1916860
643,2400590
644,724950
645,3658230
646,625730
647,805790
648,1991890
649,3328870
650,868150
651,1045280
652,3933000
653,2505080
654,590640
655,2689460
656,1906870
657,744570
658,2634380
659,1680390
660,2290850
661,977400
662,3834300
663,1353660
664,666060
665,332610
666,2292080
667,1262830
668,2567630
669,3417600
670,3412330
671,1901030
672,3789130
673,3575020
674,3818130
675,2738080
676,2896220
677,986810
678,1170340
679,1064910
680,343250
681,3393760
682,511140
683,3376430
684,2495630
685,1415750
686,3114900
687,664450
688,2294540
689,461510
690,2404620
691,2051620
692,1994480
693,795950
694,1193570
695,1148530
696,1631190
697,3422660
698,37290
699,1212450
700,2854250
701,2121640
702,1812370
703,3403660
704,3025340
705,2071200
706,1464190
707,2068650
708,380360
709,2269980
710,2225290
711,1533390
712,2805620
713,3132460
714,3340
715,3635730
716,705170
717,640120
718,2664670
719,2772190
720,2484120
721,430210
722,1412840
723,3917480
724,1914110
725,446530
726,2098150
727,711820
728,1493910
729,1682470
730,295250
731,3187080
732,1602700
733,1236900
734,2600110
735,2132710
736,1495060
737,406830
738,2395840
739,1218750
740,3168880
741,2916190
742,1066660
743,1569880
744,2307840
745,216210
746,693300
747,2494660
748,715270
749,1892370
750,2321250
751,1213300
752,1322080
753,2335920
754,1855150
755,2059570
756,1428140
757,1449100
758,399040
759,929910
760,675980
761,3114250
762,496630
763,2251970
764,3723940
765,2346150
766,3631290
767,1503440
768,1015190
769,1369430
770,3494560
771,2786450
772,1013810
773,357190
774,2651510
775,472870
776,1028520
777,1854800
778,2361450
779,291480
780,1166310
781,2873290
782,2310700
783,1554270
784,1506710
785,2422170
786,3641720
787,2871820
788,2277000
789,628040
790,3181430
791,2794620
792,912410
793,1078760
794,1957910
795,3220530
796,2718450
797,3375970
798,1412370
799,1985770
800,1002860
801,2222530
802,997030
803,1322180
804,3413210
805,568690
806,1983020
807,351050
808,930300
809,1934990
810,1255380
811,1611660
812,3885520
813,1239000
814,1424610
815,1630110
816,3759860
817,1846040
818,1509960
819,3049160
820,2750780
821,2362020
822,2326480
823,2719510
824,3091520
825,3211050
826,3167930
827,376130
828,1353150
829,2272040
830,672000
831,3198300
832,3138940
833,812560
834,1025460
835,3003670
836,1370970
837,364250
838,461280
839,941020
840,2534310
841,3315320
842,2456660
843,2073280
844,658430
845,3919730
846,954410
847,887400
848,2411510
849,3480180
850,1440220
851,2957940
852,3306910
853,1946260
854,1455360
855,3932580
856,1804610
857,3802260
858,997810
859,2327660
860,218620
861,681360
862,1944670
863,3798630
864,1970060
865,2345030
